"congener","Average_Sampling_Rate","SD_Sampling_Rate","CV_Sampling_Rate"
"PCB137",2.48716666666667,2.29350216190582,92.2134488469806
"PCB139.140",1.854,1.39854209804353,75.4337701210103
"PCB141",2.445,2.01134076343783,82.2634259074776
"PCB144",1.72071428571429,1.22897799197622,71.4225483091204
"PCB145",1.3616,1.01915862357142,74.8500751741645
"PCB146",2.26657142857143,1.76799197369434,78.0029233320333
"PCB147.149",1.87128571428571,1.35891558657209,72.6193534315951
"PCB148",1.88366666666667,1.40945391316401,74.825017510034
"PCB150",1.35875,1.08018003900584,79.4980709479922
"PCB152",1.24516666666667,0.888754278001893,71.3763307189313
"PCB153.168",2.42157142857143,1.87654930276673,77.4930394629643
"PCB154",1.55314285714286,1.18481340704932,76.2848955973622
"PCB156.157",2.7616,2.34981973776713,85.0890692992155
"PCB158",3.362,2.55618270082559,76.03160918577
