"congener","Average_Sampling_Rate","SD_Sampling_Rate","CV_Sampling_Rate"
"PCB129.138.163",2.96128571428571,2.42354387308378,81.8409335307368
"PCB130",2.73671428571429,2.28641325473515,83.5459246392756
"PCB131",1.94671428571429,1.47916042788758,75.9824098863511
"PCB132",2.23414285714286,1.72667796925883,77.2859248341444
"PCB133",2.2868,1.98076278236441,86.6172285448841
"PCB134",1.92585714285714,1.38112399015819,71.7147684230199
"PCB135.151",1.70228571428571,1.19611324913735,70.2651287677194
"PCB136",1.377,0.951168579520301,69.0754233493319
"PCB137",2.48716666666667,2.29350216190582,92.2134488469806
"PCB139.140",1.74342857142857,1.30977693484334,75.1265039651212
"PCB141",2.445,2.01134076343783,82.2634259074776
